"","Adams","Cabot","Kirkland","Mather","Quincy","Leverett","Dunster","Currier","Eliot","Lowell","Pforzheimer","Winthrop"
"280",8,10,7,9,5,6,4,11,6,3,10,2
"281",8,10,7,9,5,6,4,11,6,3,10,2
"282",8,10,7,9,5,6,5,11,6,3,10,2
"283",8,10,7,9,5,6,5,11,6,3,10,2
"284",8,10,7,9,5,6,5,11,6,3,10,2
"285",8,10,7,9,5,6,5,11,6,3,10,2
"286",8,10,7,9,5,6,5,11,6,3,10,2
"287",8,10,7,9,5,6,5,11,6,3,10,2
"288",8,10,7,9,6,6,5,11,6,3,10,2
"289",8,10,7,9,6,6,5,11,6,3,10,2
"290",8,10,7,9,6,6,5,11,6,3,10,2
"291",8,10,7,9,6,6,5,11,6,3,10,2
"292",8,10,7,9,6,6,5,11,6,3,10,2
"293",8,11,7,9,6,6,5,11,6,3,10,2
"294",8,11,7,9,6,6,5,11,6,3,10,2
"295",8,11,7,9,6,6,5,11,6,3,10,2
"296",8,11,7,9,6,6,5,11,6,3,10,2
"297",8,11,7,9,6,6,5,11,6,3,10,2
"298",8,11,7,9,6,6,5,11,6,3,10,2
"299",8,11,7,9,6,6,5,11,6,3,10,2
"300",8,11,7,9,6,6,5,11,6,3,10,2
"301",8,11,7,9,6,6,5,11,6,3,10,2
"302",8,11,7,9,6,6,5,11,6,3,10,2
"303",8,11,7,9,6,6,5,11,6,3,10,2
"304",8,11,7,9,6,7,5,11,6,3,10,2
"305",8,11,7,9,6,7,5,11,6,3,10,2
"306",8,11,7,9,6,7,5,11,6,3,10,2
"307",8,11,7,9,6,7,5,11,6,3,10,2
"308",8,11,7,9,6,7,5,11,6,3,10,2
"309",8,11,7,9,6,7,5,11,6,3,10,2
"310",8,11,7,9,6,7,5,11,6,3,10,2
"311",8,11,7,9,6,7,5,11,6,3,10,2
"312",8,11,7,9,6,7,5,11,6,3,10,2
"313",8,11,7,9,6,7,5,11,6,3,10,2
"314",8,11,7,9,6,7,5,11,6,3,10,2
"315",8,11,7,9,6,7,5,11,6,3,10,2
"316",8,11,7,9,6,7,5,11,6,3,10,2
"317",8,11,7,9,6,7,5,11,6,3,10,2
"318",8,11,7,9,6,7,5,11,6,3,10,2
"319",8,11,7,9,6,7,5,11,6,3,10,2
"320",8,11,7,9,6,7,5,11,6,3,10,2
"321",9,11,7,9,6,7,5,11,6,3,10,2
"322",9,11,7,9,6,7,5,11,6,4,10,2
"323",9,11,7,9,6,7,5,11,6,4,10,3
